SKU,Year,Make,Model,Trim,Engine
UOF-3518,2016,Nissan,Frontier,, S/SV 2.5L
UOF-0172,2024,Ford,Maverick,,XLT 2.5L Full Hybrid EVGas
UOF-0172,2020,Freightliner,114SD,,12.8L L6 Turbo Diesel
UHF-3937,1994,International,4700,,5.9L L6 Turbo Diesel
UOF-4746,2022,Nissan,Frontier,, S/SV/PRO-X/PRO-4X 3.8L
UOF-4746,2021,Nissan,Frontier,, S/SV/PRO-X/PRO-4X 3.8L
UOF-4746,2023,Nissan,Frontier,, S/SV/PRO-X/PRO-4X 3.8L
UOF-4746,2024,Nissan,Frontier,, S/SV/SL/PRO-X/PRO-4X 3.8L
UFF-5712,2017,Isuzu,NQR,, 5.2L Turbo Diesel
UFF-5712,2023,Isuzu,NRR,,5.2L Turbo Diesel
UFF-5712,2024,Isuzu,NRR,,5.2L Turbo Diesel
UOF-0787,2008,Ford,F-250 Super Duty 5.4L,,
UOF-0787,2019,Ford,F-250 Super Duty,,XL/XLT/Lariat/King Ranch/Platinum 6.2L V8
UOF-0787,2020,Ford,F-250 Super Duty,,XL/XLT/Lariat/King Ranch/Platinum 6.2L Flex
UFF-7583,2008,Ford,F-250 Super Duty 5.4L,,
UAF-3720,2008,Ford,F-250 Super Duty 5.4L,,
UAF-3720,2021,Ford,F-150,,XL/XLT 3.3L V6 Flex
UAF-3720,2019,Ford,F-150,,XL/XLT/Lariat 2.7L V6 Gas
UAF-3720,2025,Ford,F-150,,Lariat 5.0L V8 Flex
UAB-6982,2010,Peterbilt,337,,8.3L L6 Turbo Diesel
UFF-1994,1997,GMC,C7500 Topkick C7H042,,6.6L L6 Turbo Diesel
UHF-1118,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UAF-3426,1997,GMC,C7500 Topkick C7H042,,6.6L L6 Turbo Diesel
UAF-3426,2010,Peterbilt,337,,8.3L L6 Turbo Diesel
UAF-7065,1997,GMC,C7500 Topkick C7H042,,6.6L L6 Turbo Diesel
UOF-0303,2022,Polaris,Ranger Crew XP 1000,Trail Boss,
UOF-0437,2010,Peterbilt,337,,8.3L L6 Turbo Diesel
UFF-1296,2013,Ford,F-750 Super Duty,,w/ 6.7 Cummins ISB Diesel Engine
UOF-6415,2013,Ford,F-750 Super Duty,,w/ 6.7 Cummins ISB Diesel Engine
UOF-6415,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UAF-7649,2015,Ford,F750,,6.7L Turbo Diesel
UFF-2786,2013,Ford,F-750 Super Duty,,w/ 6.7 Cummins ISB Diesel Engine
UFF-2786,2010,Peterbilt,337,,8.3L L6 Turbo Diesel
UTF-2978,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UAF-1977,2013,Ford,F-750 Super Duty,,w/ 6.7 Cummins ISB Diesel Engine
UAF-2071,2022,Polaris,Ranger Crew XP 1000,Trail Boss,
UAF-2587,1994,International,4700,,5.9L L6 Turbo Diesel
UAF-3559,1994,International,4700,,5.9L L6 Turbo Diesel
UAF-0306,2022,Nissan,Frontier,, S/SV/PRO-X/PRO-4X 3.8L
UAF-0306,2021,Nissan,Frontier,, S/SV/PRO-X/PRO-4X 3.8L
UAF-0306,2023,Nissan,Frontier,, S/SV/PRO-X/PRO-4X 3.8L
UAF-0306,2024,Nissan,Frontier,, S/SV/SL/PRO-X/PRO-4X 3.8L
UOF-9595,1994,International,4700,,5.9L L6 Turbo Diesel
UFF-9102,1994,International,4700,,5.9L L6 Turbo Diesel
UAF-1771,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UAF-8953,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UFF-2270,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UFF-9600,2021,Kalmar Ottowa,Yard Truck,4X2,w/ Cummins QSB 6.7L Engine
UFF-2339,2010,Peterbilt,337,,8.3L L6 Turbo Diesel
UFF-6450,1994,International,4700,,5.9L L6 Turbo Diesel
UOF-2977,1997,GMC,C7500 Topkick C7H042,,6.6L L6 Turbo Diesel
UAF-8070,2016,Mack,GU700,,12.8L L6 Diesel
UOF-4435,2018,Volvo,VHD,,12.8L 780CI L6 Diesel
UOF-6428,2019,Ford,F-250 Super Duty,,XL/XLT/Lariat/King Ranch/Platinum 6.7L Diesel
UAF-2313,2016,Nissan,Frontier,, S/SV 2.5L
UCB-4490,2016,Nissan,Frontier,, S/SV 2.5L
UAF-8548,2017,Isuzu,NQR,, 5.2L Turbo Diesel
UAF-8548,2023,Isuzu,NRR,,5.2L Turbo Diesel
UAF-8548,2024,Isuzu,NRR,,5.2L Turbo Diesel
UAF-8548,2022,Isuzu,NRR,,6.0L V8 BiFuel
UAF-8548,2021,Chevrolet,LCF 3500,,6.6L V8 FI
UAF-8548,2017,Chevrolet,LCF 3500,,6.0L V8 FI
UAF-8548,2016,Chevrolet,LCF 3500,,6.0L V8 FI
UAF-8548,2015,Isuzu,NPR,,6.0L V8 FI
UAF-8548,2019,Chevrolet,LCF 3500,,6.0L V8 FI
UAF-8548,2018,Chevrolet,LCF 4500HD,,6.0L V8 FI
UOF-8976,2017,Isuzu,NQR,, 5.2L Turbo Diesel
UOF-8976,2023,Isuzu,NRR,,5.2L Turbo Diesel
UOF-8976,2024,Isuzu,NRR,,5.2L Turbo Diesel
UFF-6756,2017,Isuzu,NQR,, 5.2L Turbo Diesel
UFF-5605,2017,Isuzu,NQR,, 5.2L Turbo Diesel
UFF-5605,2023,Isuzu,NRR,,5.2L Turbo Diesel
UFF-5605,2024,Isuzu,NRR,,5.2L Turbo Diesel
UAF-4364,2010,Chevrolet,Express 3500,, 6.0L V8
UOF-6541,2010,Chevrolet,Express 3500,, 6.0L V8
UOF-6541,2022,Isuzu,NRR,,6.0L V8 BiFuel
UOF-6541,2017,Chevrolet,LCF 3500,,6.0L V8 FI
UOF-6541,2016,Chevrolet,LCF 3500,,6.0L V8 FI
UOF-6541,2015,Isuzu,NPR,,6.0L V8 FI
UOF-6541,2019,Chevrolet,LCF 3500,,6.0L V8 FI
