SKU,Make,Type,Sub-Model,Model,Variant,Variant 2
UAF-7239,John Deere,Utility Tractor,,2032R,S/N (- GH100007 ),
UAF-7239,John Deere,Utility Tractor,,2032R,S/N ( GH100008 - ),
UAF-7239,John Deere,Utility Tractor,,2032R,S/N ( NP100000 - ) ( Worldwide Edition),
UAF-7239,John Deere,Utility Tractor,,2032R,S/N ( 1LV2032R*LL300001- ),
UAF-7239,John Deere,Utility Tractor,,2032R,S/N ( LL300001- ),
UAF-7239,John Deere,Utility Tractor,,2025R,S/N ( - HH100000 ),
UAF-7239,John Deere,Utility Tractor,,2025R,S/N ( HH100001 - JJ103920 ),
UAF-7239,John Deere,Utility Tractor,,2025R,S/N (NP100000 - ),
UAF-7239,John Deere,Utility Tractor,,2038R,S/N ( GH100009 - ),
UAF-7239,John Deere,Utility Tractor,,2038R,S/N (LL300001- ),
UAF-7239,John Deere,Utility Tractor,,2038R,S/N ( NP100000 - ) ( Worldwide Edition),
UAF-7239,John Deere,Compact Excavator,,26G,,
UAF-7239,Kubota,Utility Vehicle,,RTV900T5-H/T2,,
UAF-7239,Kubota,Utility Vehicle,,RTV900T6,,
UAF-7239,Kubota,Utility Vehicle,,RTV900T9,,
UAF-7239,John Deere,Tractor,,1025R,Serial # JJ153036 & Below,
UAF-7239,John Deere,Excavator,,35D,20 Micron Fuel Filter,
UAF-7239,John Deere,Excavator,,35D,5 Micron Fuel Filter,
UAF-7239,John Deere,Excavator,,50D,20 Micron Fuel Filter,
UAF-7239,John Deere,Excavator,,50D,5 Micron Fuel Filter,
UAF-7239,John Deere,Tractor,,990,,
UAF-7239,John Deere,Excavator,,27D,S/N -250000 (20 Micron Fuel Filter),
UAF-7239,John Deere,Excavator,,27D,S/N -250000 (5 Micron Fuel Filter),
UAF-7239,John Deere,Excavator,,27D,S/N  250001- (20 Micron Fuel Filter),
UAF-7239,John Deere,Excavator,,27D,S/N  250001- (5 Micron Fuel Filter),
UAF-7239,John Deere,Excavator,,27C ZTS,,
UAF-7239,John Deere,Excavator,,35C ZTS,,
UAF-7239,John Deere,Tractor,,4210,,
UAF-7239,John Deere,Tractor,,4310,,
UAF-7239,John Deere,Tractor,,4410,,
UAF-7239,John Deere,Tractor,,4200,,
UAF-7239,John Deere,Tractor,,4300,,
UAF-7239,John Deere,Tractor,,4400,,
UAF-7239,John Deere,Tractor,,4500,,
UAF-7239,John Deere,Tractor,,4600,,
UAF-7239,John Deere,Tractor,,4700,,
UAF-7239,John Deere,Excavator,,50C ZTS,,
UAF-7239,ASV,Compact Track Loader,,RT-25,,
UAF-7239,ASV,Compact Track Loader,,RT-30,,
UAF-7239,John Deere,Tractor,,4005,,
UAF-7239,Kubota,Tractor,,L3301DT,,
UAF-7239,Kubota,Tractor,,L3301F,,
UAF-7239,Kubota,Tractor,,L3301HST,,
UAF-7239,Kubota,Tractor,,L2501D,,
UAF-7239,Kubota,Tractor,,L2501F,,
UAF-7239,Kubota,Tractor,,L2501HST,,
UAF-7239,Kubota,Tractor,,L2800,,
UAF-7239,Kubota,Tractor,,L2800DHV,,
UAF-7239,Kubota,Tractor,,L2800DHW,,
UAF-7239,Kubota,Tractor,,L2800DTF,,
UAF-7239,Kubota,Tractor,,L2800DTR,,
UAF-7239,Kubota,Tractor,,L2800FF,,
UAF-7239,Kubota,Tractor,,L2800FR,,
UAF-7239,Kubota,Tractor,,L2800HST,,
UAF-7239,Kubota,Tractor,,L3200DT,,
UAF-7239,Kubota,Tractor,,L3200F,,
UAF-7239,Kubota,Tractor,,L3200HST,,
UAF-7239,Kubota,Tractor,,L3400DT,,
UAF-7239,Kubota,Tractor,,L3400F,,
UAF-7239,Kubota,Tractor,,L3400HST,,
UAF-7239,Kubota,Tractor,,L3700SU,,
UAF-7239,Kubota,Tractor,,L3800DT,,
UAF-7239,Kubota,Tractor,,L3800F,,
UAF-7239,Kubota,Tractor,,L3800HST,,
UAF-7239,Kubota,Utility Vehicle,,RTV900,High Mount Air Cleaner(Standard Fuel Filter),
UAF-7239,Kubota,Utility Vehicle,,RTV900,High Mount Air Cleaner(Optional Fuel Filter Kit),
UAF-7239,Kubota,Tractor,,L3560,,
UAF-7239,Kubota,Tractor,,L3560DT,,
UAF-7239,Kubota,Tractor,,L3560GST,,
UAF-7239,Kubota,Tractor,,L3560HST,,
UAF-7239,Kubota,Tractor,,L3560HSTC,,
UAF-7239,Barreto,Trencher,,20RTK,Engine: GX630 ( Donaldson Air Filter ),
UAF-7239,Barreto,Trencher,,20RTK,Engine: GX690 ( Donaldson Air Filter ),
UAF-7239,Barreto,Trencher,,20RTK,Engine: Briggs & Stratton ( Donaldson Air Filter ),
UAF-7239,Barreto,Stump Grinder,,30SGB,,
UAF-7239,Vermeer,Stump Grinder,,SC30TX,S/N 101-1131,
UAF-7239,Vermeer,Stump Grinder,,SC30TX,S/N 1132-,
UAF-7239,Vermeer,Brush Chipper,,BC700XL,,
UAF-7239,Ditch Witch,Trencher,,C24X,,
UAF-7239,Ditch Witch,Stand-On Skid Steer,,SK800,,
UAF-7239,Toro,Zero-Turn Mower,Z Master,74955,,
UAF-7239,Yanmar,Compact Utility Tractor,,SA424,,
UAF-7239,Yanmar,Compact Utility Tractor,,SA221,,
UAF-7239,Yanmar,Compact Utility Tractor,,SA324,,
UAF-7239,Kubota,Utility Vehicle,,RTV1100,Years 2007-2009 ( S/N BKZ999 ) & Below,
